year,yearly_return,sample
2009,0.4344440041790574,In-sample
2010,0.17840832319331223,In-sample
2011,0.045995793261057294,In-sample
2012,0.06374951549864338,In-sample
2013,-0.11778329476105054,In-sample
2014,-0.05952735346490157,In-sample
2015,-0.09074101225704567,In-sample
2016,0.008677479757275508,In-sample
2017,0.0849783038926546,In-sample
2018,0.11000915200734784,In-sample
2019,0.015535150259470942,In-sample
2020,0.419006186002709,Out-of-sample
2021,-0.08353140638868217,Out-of-sample
2022,0.1532929261416316,Out-of-sample
2023,0.003987345161266642,Out-of-sample
